max_features,n_population,n_generations,accuracy,precision,recall
100,100,1000,0.66,0.6190476190476191,0.5909090909090909
100,200,500,0.83,0.8292682926829268,0.7727272727272727
100,500,200,0.76,0.75,0.6818181818181818
100,1000,100,0.83,0.8292682926829268,0.7727272727272727
100,200,50,0.74,0.725,0.6590909090909091
100,100,100,0.78,0.7894736842105263,0.6818181818181818
100,50,200,0.86,0.8125,0.8863636363636364
100,10,100,0.81,0.7906976744186046,0.7727272727272727
100,20,50,0.82,0.782608695652174,0.8181818181818182
100,50,20,0.86,0.8125,0.8863636363636364
100,100,10,0.82,0.8095238095238095,0.7727272727272727
500,100,1000,0.83,0.813953488372093,0.7954545454545454
500,200,500,0.8,0.8529411764705882,0.6590909090909091
500,500,200,0.76,0.7380952380952381,0.7045454545454546
500,1000,100,0.83,0.8292682926829268,0.7727272727272727
500,200,50,0.84,0.8333333333333334,0.7954545454545454
500,100,100,0.87,0.8297872340425532,0.8863636363636364
500,50,200,0.75,0.7209302325581395,0.7045454545454546
500,10,100,0.76,0.717391304347826,0.75
500,20,50,0.8,0.74,0.8409090909090909
500,50,20,0.79,0.8108108108108109,0.6818181818181818
500,100,10,0.81,0.7777777777777778,0.7954545454545454
1000,100,1000,0.85,0.8536585365853658,0.7954545454545454
1000,200,500,0.85,0.8536585365853658,0.7954545454545454
1000,500,200,0.81,0.8048780487804879,0.75
1000,1000,100,0.83,0.813953488372093,0.7954545454545454
1000,200,50,0.84,0.8333333333333334,0.7954545454545454
1000,100,100,0.84,0.8181818181818182,0.8181818181818182
1000,50,200,0.87,0.8604651162790697,0.8409090909090909
1000,10,100,0.82,0.7708333333333334,0.8409090909090909
1000,20,50,0.82,0.7407407407407407,0.9090909090909091
1000,50,20,0.85,0.8536585365853658,0.7954545454545454
1000,100,10,0.81,0.7450980392156863,0.8636363636363636
2000,100,1000,0.8,0.7857142857142857,0.75
2000,200,500,0.85,0.8222222222222222,0.8409090909090909
2000,500,200,0.88,0.9,0.8181818181818182
2000,1000,100,0.82,0.8421052631578947,0.7272727272727273
2000,200,50,0.85,0.8372093023255814,0.8181818181818182
2000,100,100,0.86,0.8409090909090909,0.8409090909090909
2000,50,200,0.83,0.7872340425531915,0.8409090909090909
2000,10,100,0.87,0.8604651162790697,0.8409090909090909
2000,20,50,0.84,0.8043478260869565,0.8409090909090909
2000,50,20,0.83,0.7872340425531915,0.8409090909090909
2000,100,10,0.84,0.8333333333333334,0.7954545454545454
3000,100,1000,0.85,0.8372093023255814,0.8181818181818182
3000,200,500,0.87,0.8604651162790697,0.8409090909090909
3000,500,200,0.83,0.8292682926829268,0.7727272727272727
3000,1000,100,0.9,0.925,0.8409090909090909
3000,200,50,0.85,0.8372093023255814,0.8181818181818182
3000,100,100,0.85,0.8536585365853658,0.7954545454545454
3000,50,200,0.86,0.8260869565217391,0.8636363636363636
3000,10,100,0.86,0.8409090909090909,0.8409090909090909
3000,20,50,0.86,0.8260869565217391,0.8636363636363636
3000,50,20,0.85,0.8222222222222222,0.8409090909090909
3000,100,10,0.86,0.8409090909090909,0.8409090909090909
4000,100,1000,0.85,0.8085106382978723,0.8636363636363636
4000,200,500,0.84,0.8043478260869565,0.8409090909090909
4000,500,200,0.86,0.8571428571428571,0.8181818181818182
4000,1000,100,0.85,0.8717948717948718,0.7727272727272727
4000,200,50,0.86,0.8571428571428571,0.8181818181818182
4000,100,100,0.83,0.7872340425531915,0.8409090909090909
4000,50,200,0.85,0.8085106382978723,0.8636363636363636
4000,10,100,0.86,0.8409090909090909,0.8409090909090909
4000,20,50,0.86,0.8571428571428571,0.8181818181818182
4000,50,20,0.85,0.8222222222222222,0.8409090909090909
